abcdefghijklmnñopqrstuvwxyz0123456789 -_.,:;¿?¡!'"´`/\(){}[]<>*^ˇ°+=&|%~¨@$€#×⭾⏎¤ß¬¸ç«»£·–—−
a 010000101
b 100101100
c 001100001
d 100001100
e 001101001
f 010101100
g 001100001
h 010000101
i 010000010
j 010100001
k 011100011
l 010001010
m 010000111
n 100000001
ñ 110001001
o 010101010
p 100101010
q 010101011
r 100101001
s 010101010
t 010101010
u 101000011
v 101000010
w 111000010
x 101000101
y 101000010
z 001000100
0 011101110
1 010100010
2 001101100
3 100101100
4 010101010
5 100101001
6 001101010
7 001101010
8 010101010
9 010101100
  000000000
- 000100000
_ 000101000
. 000100110
, 000000100
: 110100110
; 110100100
¿ 010100010
? 010001010
¡ 110100010
! 010100110
' 010000000
" 011100000
´ 010100000
` 100000000
/ 010000100
\ 100000010
( 001000001
) 100000100
{ 001100001
} 100001100
[ 010100010
] 010001010
< 000001001
> 000100100
* 111101000
^ 010101000
ˇ 101000000
° 110100000
+ 000000000
= 000000000
& 010101011
| 000000000
% 111101111
~ 110001000
¨ 111101000
@ 010101101
$ 110101011
€ 011101011
# 111101111
× 000000000
⭾ 110100110
⏎ 010100000
¤ 111101111
ß 011101110
¬ 000100010
¸ 000000010
ç 001100011
« 010101011
» 010101110
£ 011001110
· 000000000
– 000001000
— 000001000
− 000000000
