0 _0
1 _1
2 _2
3 _3
4 _4
5 _5
6 _6
7 _7
8 _8
9 _9
a _a
b _b
c _c
d _d
e _e
f _f
g _g
h _h
i _i
j _j
k _k
l _l
m _m
n _n
o _o
p _p
q _q
r _r
s _s
t _t
u _u
v _v
w _w
x _x
y _y
z _z
ñ _ñ
´ accent_acute
` accent_grave
& ampersand
' apostrophe
* asterisk
@ at
\ backslash
{ bracket_l
} bracket_r
^ caret
ˇ caron
¸ cedilla
ç cedilla_c
: colon
, comma
¤ currency
- dash
° degree
$ dollar
· dot
« double_angle_l
» double_angle_r
— em_dash
– en_dash
= equal
ß eszett
€ euro
¡ exclamation_l
! exclamation_r
> greaterthan
# hashtag
< lessthan
− minus
× multiplication
¬ not
( parenthesis_l
) parenthesis_r
% percentage
. period
+ plus
£ pound
¿ question_l
? question_r
" quotation
⏎ return
; semicolon
/ slash
  space
[ squarebracket_l
] squarebracket_r
⭾ tab
~ tilde
¨ umlaut
_ underscore
| vertical
